Versão:	V00004	Classificação nacional de profissões, versão 1994	
5	="2.2.2.1.05"	="Médico - clínica geral"	
5	="2.2.2.1.07"	="Médico anestesista"	
5	="2.2.2.1.10"	="Médico cardiologista"	
5	="2.2.2.1.12"	="Médico endocrinologista"	
5	="2.2.2.1.15"	="Médico fisiatra"	
5	="2.2.2.1.17"	="Médico imunohemoterapeuta"	
5	="2.2.2.1.20"	="Médico internista"	
5	="2.2.2.1.22"	="Médico nefrologista"	
5	="2.2.2.1.25"	="Médico neurologista"	
5	="2.2.2.1.27"	="Médico patologista clínico"	
5	="2.2.2.1.30"	="Médico pediatra"	
5	="2.2.2.1.32"	="Médico pneumologista"	
5	="2.2.2.1.35"	="Médico psiquiatra"	
5	="2.2.2.1.37"	="Médico radiologista"	
5	="2.2.2.1.40"	="Médico - saúde pública"	
5	="2.2.2.1.42"	="Médico do trabalho"	
5	="2.2.2.1.45"	="Médico cirurgião - cirurgia geral"	
5	="2.2.2.1.47"	="Médico hematologista clínico"	
5	="2.2.2.1.50"	="Médico cirurgião - cirurgia cardiotoráxica"	
5	="2.2.2.1.52"	="Médico cirurgião - cirurgia maxilo-facial"	
5	="2.2.2.1.55"	="Médico cirurgião - neurocirurgia"	
5	="2.2.2.1.57"	="Médico cirurgião - ortopedia"	
5	="2.2.2.1.60"	="Médico cirurgião - cirurgia pediátrica"	
5	="2.2.2.1.62"	="Médico cirurgião - cirurgia plástica e reconstrutiva"	
5	="2.2.2.1.65"	="Médico cirurgião - cirurgia vascular"	
5	="2.2.2.1.67"	="Médico dermatologista"	
5	="2.2.2.1.70"	="Médico estomatologista"	
5	="2.2.2.1.72"	="Médico ginecologista e obstetra"	
5	="2.2.2.1.75"	="Médico oftalmologista"	
5	="2.2.2.1.77"	="Médico otorrinolaringologista"	
5	="2.2.2.1.80"	="Médico urologista"	
5	="2.2.2.1.82"	="Médico - radioterapia"	
5	="2.2.2.1.85"	="Médico - medicina nuclear"	
5	="2.2.2.1.90"	="Outros médicos"	
4	="2.2.2.2"	="Médicos dentistas"	
5	="2.2.2.2.05"	="Médico dentista"	
5	="2.2.2.2.90"	="Outros médicos dentistas"	
4	="2.2.2.3"	="Veterinários"	
5	="2.2.2.3.05"	="Veterinário"	
5	="2.2.2.3.90"	="Outros veterinários"	
4	="2.2.2.4"	="Farmacêuticos"	
5	="2.2.2.4.05"	="Farmacêutico"	
5	="2.2.2.4.90"	="Outros farmacêuticos"	
3	="2.2.3"	="Enfermeiros"	
4	="2.2.3.0"	="Enfermeiros"	
5	="2.2.3.0.05"	="Enfermeiro"	
5	="2.2.3.0.10"	="Enfermeiro - especialista em médico-cirúrgica"	
5	="2.2.3.0.15"	="Enfermeiro - especialista em reabilitação"	
5	="2.2.3.0.20"	="Enfermeiro - especialista em saúde pública"	
5	="2.2.3.0.25"	="Enfermeiro - especialista em saúde materna e obstétrica"	
5	="2.2.3.0.30"	="Enfermeiro - especialista em saúde infantil e pediátrica"	
5	="2.2.3.0.35"	="Enfermeiro - especialista em saúde mental e psiquiátrica"	
5	="2.2.3.0.90"	="Outros enfermeiros"	
2	="2.3"	="Docentes do ensino secundário, superior e profissões similares"	
3	="2.3.1"	="Docentes do ensino universitário e de estabelecimentos de ensino superior"	
4	="2.3.1.0"	="Docentes do ensino universitário e de estabelecimentos de ensino superior"	
5	="2.3.1.0.05"	="Professor do ensino superior"	
5	="2.3.1.0.90"	="Outros docentes do ensino universitário e estabelecimento de ensino superior"	
3	="2.3.2"	="Docentes do ensino básico (2º e 3º ciclos) e secundário"	
